,Persentase Partisipasi,Persentase Suara sah,Persentase Suara Tidak Sah,cluster,nama_kecamatan
0,0.3643937538568496,0.39170901484730525,0.08420230475249794,1,AIR BESAR
1,0.10445034284418153,0.32844761065724093,0.20973779236941203,0,AIR UPAS
2,0.11649014366908483,0.33469757861577776,0.2028738107318973,0,AMBALAU
3,0.21386089459305124,0.3441331206225735,0.18323336559726983,2,ANJONGAN
4,0.21293165895549437,0.37835458038604486,0.11200007541716363,2,BADAU
5,0.13424814966490795,0.3637832739489726,0.1365747664533754,2,BALAI
6,0.12205415386283458,0.4668188547189933,0.08398927752863942,2,BANYUKE HULU
7,0.14391884226155904,0.3933510456370195,0.08078435315804368,2,BATANG LUPAR
8,0.24697928962501847,0.35259851440353707,0.26500576534688786,0,BATU AMPAR
9,0.1528237320036574,0.36349301598109385,0.14293499539271748,2,BEDUAI
10,0.40302555012377383,0.33928334600897525,0.18149433552786148,1,BELIMBING
11,0.5150584129149895,0.4204015792543041,0.024477623209011784,1,BELIMBING HULU
12,0.20712933135123013,0.47732499439961185,0.049612240195071836,2,BELITANG
13,0.2582022519590548,0.3616022319320358,0.1468707355425522,2,BELITANG HILIR
14,0.3633757867882521,0.42699717906979906,0.010748626836977776,1,BELITANG HULU
15,0.11247900586720483,0.3590497660155947,0.1088013228120857,2,BENGKAYANG
16,0.2761577846236154,0.34563809800381584,0.9999999999999999,3,BENUA KAYONG
17,0.23133833978672103,0.373802671078578,0.12147504997698151,2,BIKA
18,0.2432921224001201,0.3739406603837665,0.12118782038941144,2,BINJAI HULU
19,0.2951887691606869,0.3325381049741667,0.20736883816574497,2,BONTI
20,0.28428369814679266,0.3400856405809263,0.19165835103646744,2,BOYAN TANJUNG
21,0.20623475251715773,0.33625299331977576,0.19963615506793925,2,BUNUT HILIR
22,0.23723429860456569,0.3503415047257521,0.17031037440813668,2,BUNUT HULU
23,0.08747635349236937,0.3265565966780031,0.219819578960266,0,CAPKALA
24,0.34266982884008357,0.37065282228777097,0.1280315821383533,1,DEDAI
25,0.12379323953941768,0.37282438170673693,0.1254805859247457,2,DELTA PAWAN
26,0.5242790195785327,0.3725116575959424,0.12416234464694513,1,ELLA HILIR
27,0.1570945236408383,0.3297710032777106,0.21312866746663267,0,EMBALOH HILIR
28,0.08909783500410318,0.34232807337849014,0.18699064091521012,0,EMBALOH HULU
29,0.21664669159379701,0.39364232095929275,0.08017805304575377,2,EMPANANG
30,0.1942637272893376,0.3479652415862491,0.1752566576755869,2,ENTIKONG
31,0.18128983066522075,0.22986966666502884,0.4210771587925974,0,GALING
32,0.37650864065749357,0.0,0.05934544607555681,2,HULU GURUNG
33,0.12964091915273446,0.4010591643666839,0.0647396062964288,2,HULU SUNGAI
34,0.06176809501207492,0.3878998008223453,0.09213132967367645,2,JAGOI BABANG
35,0.2578981247251608,0.3426816464924052,0.18625466518260508,2,JANGKANG
36,0.033786712673181785,0.26225114481746115,0.2301283754801811,0,JAWAI
37,0.02869103035367815,0.33370802266506594,0.20493360990537468,0,JAWAI SELATAN
38,0.16659150206702933,0.3006492210380838,0.16278758292664752,2,JELAI HULU
39,0.393758859275795,0.38058877787021395,0.10734950693781152,1,JELIMPO
40,0.20700799807350012,0.3410689352670593,0.18961158516755822,2,JONGKAT
41,0.4593757440153077,1.0,0.13514494901553786,1,JONGKONG
42,0.2491830083547255,0.38456170391722555,0.09907970791682626,2,KALIS
43,0.21895256512436823,0.38201591233088994,0.10437887083362989,2,KAPUAS
44,0.4636167401691662,0.515771827950612,0.0325637845776222,1,KAYAN HILIR
45,0.28632525624822347,0.43095507704193725,0.0025101100558214823,1,KAYAN HULU
46,0.4813614901991894,0.48200152008806896,0.06024236355434956,1,KELAM PERMAI
47,0.2208181453358793,0.376096180150606,0.11670102261760572,2,KEMBAYAN
48,0.1412241383050159,0.31889074523938454,0.23577634518375562,0,KENDAWANGAN
49,0.165748201460292,0.2703743146764861,0.33676516910536686,0,KEPULAUAN KARIMATA
50,0.3364874956085233,0.4247471759076822,0.015432095325219705,1,KETUNGAU HILIR
51,0.35279089456331936,0.4220472051583828,0.021052188726162227,1,KETUNGAU HULU
52,0.2701830205644449,0.3845317130491628,0.08637818766465487,2,KETUNGAU TENGAH
53,0.2516835149552141,0.3600716109807527,0.15005678181207083,2,KUALA BEHE
54,0.3196236637808527,0.3277060846679163,0.21742687519007503,2,KUALA MANDOR B
55,0.18540748480891778,0.5486194803017064,0.2882000288226007,2,KUBU
56,0.23534485144502537,0.38011778091489123,0.10832990553306517,2,LEDO
57,0.07661877077139856,0.34798289248278547,0.17521991629191963,0,LEMBAH BAWANG
58,0.2321895949229127,0.41227565196624827,0.04139205460250554,2,LUMAR
59,0.21265104972781723,0.3793492675927066,0.11156302944744619,2,MANDOR
60,0.49633954640248423,0.3385808087836182,0.18999974536221187,1,MANIS MATA
61,0.22965667565965875,0.3752213824688013,0.11852194742055285,2,MARAU
62,0.17159205256096888,0.2605005840937187,0.35731772032513753,0,MATAN HILIR SELATAN
63,0.2315141185295706,0.2433511011553371,0.39301503242158853,0,MATAN HILIR UTARA
64,0.2767569226969304,0.39929168355464384,0.06841868575532246,2,MELIAU
65,0.15161990812244375,0.3165294102302294,0.21365346571325872,0,MEMPAWAH HILIR
66,0.30571144269713346,0.4127738968034542,0.04035493884942441,1,MEMPAWAH HULU
67,0.19209435720069135,0.33562134680443556,0.20095095156669296,2,MEMPAWAH TIMUR
68,0.20919277188102048,0.4032774891580777,0.060122078402197285,2,MENJALIN
