,Persentase Partisipasi,Persentase Suara sah,Persentase Suara Tidak Sah,nama_kecamatan
93,85.70115471,98.42472181,2.044509988,PONTIANAK TIMUR
94,82.68793756,98.07622908,1.915442911,PONTIANAK UTARA
95,81.59240321,93.5243211,6.475678902,PULAU MAYA
96,78.08807734,98.83081155,1.169188446,PURING KENCANA
97,88.01744186,98.24294868,1.552282185,PUTUSSIBAU SELATAN
98,85.91829957,98.144569,1.855431001,PUTUSSIBAU UTARA
99,84.65199286,98.14732,1.852679997,RASAU JAYA
100,76.84593344,96.83063244,2.26588269,SADANIANG
101,69.84363366,98.15209666,1.84790334,SAJAD
102,75.54595086,98.35892803,1.641071966,SAJINGAN BESAR
103,75.53608906,96.73834259,3.261657405,SALATIGA
104,78.64012661,98.59896277,1.401037232,SAMALANTAN
105,81.19203245,99.46542782,2.189200369,SAMBAS
106,82.12999561,97.36377734,2.636222662,SANDAI
107,77.58668261,98.1981982,1.801801802,SANGGAU LEDO
108,98.49078793,98.78606965,1.213930348,SAYAN
109,105.4276663,99.07852564,0.921474359,SEBANGKI
110,78.16294988,97.86723164,2.132768362,SEBAWI
111,92.27761486,97.17955508,2.820444915,SEBERUANG
112,79.00358069,97.39782762,2.602172384,SEGEDONG
113,75.14118596,96.2756677,3.724332304,SEJANGKUNG
114,87.96017906,99.39612609,7.451576149,SEKADAU HILIR
115,93.49418775,98.93428064,1.065719361,SEKADAU HULU
116,71.18706358,97.87299948,2.127000516,SEKAYAM
117,78.79052732,97.71802863,2.28197137,SELAKAU
118,78.51590964,97.30858469,2.691415313,SELAKAU TIMUR
119,96.31359805,98.6503585,1.349641501,SELIMBAU
120,76.96666421,98.56582847,1.434171527,SELUAS
121,87.63690674,98.76917251,1.230827495,SEMITAU
122,76.10136651,97.0921273,2.800670017,SEMPARUK
123,111.8328608,99.03835556,0.936845586,SENGAH TEMILA
124,90.95994561,99.82331555,0.83925113,SEPAUK
125,86.84921847,97.45602165,2.543978349,SEPONTI
126,84.77060727,98.29328543,1.706714574,SERAWAI
127,87.09201937,97.72727273,2.272727273,SIDING
128,85.78311063,97.96545512,2.034544877,SILAT HILIR
129,92.3840686,98.65657059,1.343429409,SILAT HULU
130,81.75438596,98.15450644,1.845493562,SIMPANG DUA
131,82.20751559,95.79901915,4.200980846,SIMPANG HILIR
132,79.48392555,99.7034897,7.1314529,SIMPANG HULU
133,69.34346505,97.37003594,1.972473043,SINGKAWANG BARAT
134,69.73069484,97.56753297,2.432467034,SINGKAWANG SELATAN
135,80.96165525,99.4619762,7.762545266,SINGKAWANG TENGAH
136,77.312267,97.64255645,2.303865289,SINGKAWANG TIMUR
137,86.79396806,97.41441349,2.863164388,SINGKAWANG UTARA
138,83.26422292,98.38645418,1.613545817,SINGKUP
139,88.60933896,98.63777718,1.534613304,SINTANG
140,99.7260274,99.17582418,0.824175824,SOKAN
141,109.3130681,100.9950927,0.954198473,SOMPAK
142,82.30213685,98.11832821,1.881671793,SUBAH
143,89.8957159,98.40100329,1.598996708,SUHAID
144,87.63713771,96.39387145,3.60612855,SUKADANA
145,88.81498575,100.7514392,1.632788222,SUNGAI AMBAWANG
146,77.35329341,98.08019817,1.919801827,SUNGAI BETUNG
