,2021,2022,2023,cluster,Provinsi,kategori
0,0.10106382978723405,0.06482982171799027,0.08946322067594432,1,ACEH,Rendah
1,0.7109929078014185,0.552674230145867,0.6739562624254473,0,SUMATERA UTARA,Tinggi
2,0.322695035460993,0.30307941653160453,0.4174950298210736,2,SUMATERA BARAT,Sedang
3,0.36347517730496454,0.23176661264181525,0.32604373757455274,2,RIAU,Sedang
4,0.18439716312056742,0.15559157212317665,0.27037773359840955,1,JAMBI,Rendah
5,0.34397163120567376,0.34197730956239875,0.34791252485089463,2,SUMATERA SELATAN,Sedang
6,0.19858156028368795,0.1912479740680713,0.25844930417495027,1,BENGKULU,Rendah
7,0.48581560283687947,0.30307941653160453,0.3797216699801193,2,LAMPUNG,Sedang
8,0.4397163120567376,0.3824959481361427,0.489065606361829,2,KEP. BANGKA BELITUNG,Sedang
9,0.026595744680851074,0.2042139384116694,0.2803180914512922,1,KEP. RIAU,Rendah
10,0.0,0.0,0.0,1,DKI JAKARTA,Rendah
11,0.13829787234042556,0.19611021069692058,0.26043737574552683,1,JAWA BARAT,Rendah
12,0.2553191489361702,0.29173419773095627,0.33200795228628227,2,JAWA TENGAH,Sedang
13,0.21985815602836883,0.17504051863857373,0.2326043737574553,1,DI YOGYAKARTA,Rendah
14,0.21099290780141844,0.1458670988654781,0.19483101391650098,1,JAWA TIMUR,Rendah
15,0.04432624113475181,0.20907617504051862,0.2524850894632207,1,BANTEN,Rendah
16,0.5106382978723405,0.5559157212317666,0.7176938369781312,0,BALI,Tinggi
17,0.6950354609929079,0.5494327390599676,0.6520874751491053,0,NUSA TENGGARA BARAT,Tinggi
18,0.6507092198581561,0.7309562398703404,0.8986083499005962,0,NUSA TENGGARA TIMUR,Tinggi
19,0.4751773049645391,0.41815235008103724,0.24254473161033796,2,KALIMANTAN BARAT,Sedang
20,0.4787234042553192,0.2755267423014587,0.3399602385685885,2,KALIMANTAN TENGAH,Sedang
21,0.3776595744680851,0.23500810372771475,0.2644135188866799,2,KALIMANTAN SELATAN,Sedang
22,0.24468085106382986,0.1912479740680713,0.2107355864811133,1,KALIMANTAN TIMUR,Rendah
23,0.8581560283687943,0.573743922204214,0.6719681908548707,0,KALIMANTAN UTARA,Tinggi
24,0.3829787234042554,0.179902755267423,0.24453280318091453,2,SULAWESI UTARA,Sedang
25,0.7624113475177305,0.5429497568881686,0.7157057654075545,0,SULAWESI TENGAH,Tinggi
26,0.799645390070922,0.6012965964343598,0.7375745526838965,0,SULAWESI SELATAN,Tinggi
27,1.0,0.567260940032415,0.6520874751491053,0,SULAWESI TENGGARA,Tinggi
28,0.6134751773049647,1.0,0.952286282306163,0,GORONTALO,Tinggi
29,0.8297872340425532,0.9238249594813615,0.9999999999999999,0,SULAWESI BARAT,Tinggi
30,0.2960992907801419,0.3662884927066451,0.4791252485089464,2,MALUKU,Sedang
31,0.23049645390070927,0.2982171799027553,0.39960238568588463,2,MALUKU UTARA,Sedang
32,0.5301418439716312,0.3581847649918962,0.4950298210735586,2,PAPUA BARAT,Sedang
33,0.4308510638297873,0.6304700162074555,0.6461232604373757,0,PAPUA,Tinggi
34,0.32092198581560283,0.2965964343598055,0.3598409542743539,2,INDONESIA,Sedang
35,0.4308510638297873,0.6304700162074555,0.6461232604373757,0,PAPUA,Tinggi
36,0.32092198581560283,0.2965964343598055,0.3598409542743539,2,INDONESIA,Sedang
