Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL,,,,,,
54,"Yingying Cui, Xi Meng, Junfei Qiao",A multi-objective particle swarm optimization algorithm based on two-archive mechanism,2022,Applied Soft Computing,Elsevier BV,https://api.elsevier.com/content/article/PII:S1568494622000680,,17,5/14/2024 20:15,journal-article,10.1016/j.asoc.2022.108532,1568-4946,,119,,108532,108532,54,27,18,3,2,,,,,,,,"A3: 2020   | B3: =COUNTIF(D2:D1002, ""2020"")",
108,"Rui Sun, Guanyu Wang, Wenyu Zhang, Li-Ta Hsu, Washington Y. Ochieng",A gradient boosting decision tree based GPS signal reception classification algorithm,2020,Applied Soft Computing,Elsevier BV,https://api.elsevier.com/content/article/PII:S1568494619307239,,18,5/14/2024 20:15,journal-article,10.1016/j.asoc.2019.105942,1568-4946,,86,,105942,105942,108,27,22,5,4,,,,,,,,"A4: 2021   | B4: =COUNTIF(D2:D1002, ""2021"")",
107,"Yu Xue, Tao Tang, Wei Pang, Alex X. Liu",Self-adaptive parameter and strategy based particle swarm optimization for large-scale feature selection problems with multiple classifiers,2020,Applied Soft Computing,Elsevier BV,https://api.elsevier.com/content/article/PII:S1568494619308130,,19,5/14/2024 20:15,journal-article,10.1016/j.asoc.2019.106031,1568-4946,,88,,106031,106031,107,26.75,27,4,4,,,,,,,,"A5: 2022   | B5: =COUNTIF(D2:D1002, ""2022"")",
102,"Guo-Niu Zhu, Jie Hu, Hongliang Ren",A fuzzy rough number-based AHP-TOPSIS for design concept evaluation under uncertain environments,2020,Applied Soft Computing,Elsevier BV,https://api.elsevier.com/content/article/PII:S156849462030168X,,20,5/14/2024 20:15,journal-article,10.1016/j.asoc.2020.106228,1568-4946,,91,,106228,106228,102,25.5,34,3,4,,,,,,,,"A6: 2023   | B6: =COUNTIF(D2:D1002, ""2023"")",
75,"Xingsi Xue, Jie Zhang",Matching large-scale biomedical ontologies with central concept based partitioning algorithm and Adaptive Compact Evolutionary Algorithm,2021,Applied Soft Computing,Elsevier BV,https://api.elsevier.com/content/article/PII:S1568494621002660,,21,5/14/2024 20:15,journal-article,10.1016/j.asoc.2021.107343,1568-4946,,106,,107343,107343,75,25,38,2,3,,,,,,,,,
75,"Xingsi Xue, Jie Zhang",Matching large-scale biomedical ontologies with central concept based partitioning algorithm and Adaptive Compact Evolutionary Algorithm,2021,Applied Soft Computing,Elsevier BV,https://api.elsevier.com/content/article/PII:S1568494621002660,,22,5/14/2024 20:15,journal-article,10.1016/j.asoc.2021.107343,1568-4946,,106,,107343,107343,75,25,38,2,3,,,,,,,,,
98,"Min Liu, Xifan Yao, Yongxiang Li",Hybrid whale optimization algorithm enhanced with Lévy flight and differential evolution for job shop scheduling problems,2020,Applied Soft Computing,Elsevier BV,https://api.elsevier.com/content/article/PII:S1568494619307355,,23,5/14/2024 20:15,journal-article,10.1016/j.asoc.2019.105954,1568-4946,,87,,105954,105954,98,24.5,33,3,4,,,,,,,,,
97,"Deepak Jain, Akshi Kumar, Geetanjali Garg",Sarcasm detection in mash-up language using soft-attention based bi-directional LSTM and feature-rich CNN,2020,Applied Soft Computing,Elsevier BV,https://api.elsevier.com/content/article/PII:S1568494620301381,,24,5/14/2024 20:15,journal-article,10.1016/j.asoc.2020.106198,1568-4946,,91,,106198,106198,97,24.25,32,3,4,,,,,,,,,
94,"Zhi-bo Yang, Jun-peng Zhang, Zhi-bin Zhao, Zhi Zhai, Xue-feng Chen",Interpreting network knowledge with attention mechanism for bearing fault diagnosis,2020,Applied Soft Computing,Elsevier BV,https://api.elsevier.com/content/article/PII:S1568494620307675,,25,5/14/2024 20:15,journal-article,10.1016/j.asoc.2020.106829,1568-4946,,97,,106829,106829,94,23.5,19,5,4,,,,,,,,,
68,Zhongda Tian,Modes decomposition forecasting approach for ultra-short-term wind speed,2021,Applied Soft Computing,Elsevier BV,https://api.elsevier.com/content/article/PII:S156849462100226X,,26,5/14/2024 20:15,journal-article,10.1016/j.asoc.2021.107303,1568-4946,,105,,107303,107303,68,22.67,68,1,3,,,,,,,,,
90,"Bo Zeng, Xin Ma, Meng Zhou",A new-structure grey Verhulst model for China’s tight gas production forecasting,2020,Applied Soft Computing,Elsevier BV,https://api.elsevier.com/content/article/PII:S156849462030538X,,27,5/14/2024 20:15,journal-article,10.1016/j.asoc.2020.106600,1568-4946,,96,,106600,106600,90,22.5,30,3,4,,,,,,,,,
44,"Pei Hu, Jeng-Shyang Pan, Shu-Chuan Chu, Chaoli Sun",Multi-surrogate assisted binary particle swarm optimization algorithm and its application for feature selection,2022,Applied Soft Computing,Elsevier BV,https://api.elsevier.com/content/article/PII:S156849462200182X,,28,5/14/2024 20:15,journal-article,10.1016/j.asoc.2022.108736,1568-4946,,121,,108736,108736,44,22,11,4,2,,,,,,,,,
64,"Yan Lu, Xuejun Qin, Haoyi Fan, Taotao Lai, Zuoyong Li",WBC-Net: A white blood cell segmentation network based on UNet++ and ResNet,2021,Applied Soft Computing,Elsevier BV,https://api.elsevier.com/content/article/PII:S1568494620309455,,29,5/14/2024 20:15,journal-article,10.1016/j.asoc.2020.107006,1568-4946,,101,,107006,107006,64,21.33,13,5,3,,,,,,,,,
104,"Quan-Ke Pan, Liang Gao, Li Xin-Yu, Framinan M. Jose",Effective constructive heuristics and meta-heuristics for the distributed assembly permutation flowshop scheduling problem,2019,Applied Soft Computing,Elsevier BV,https://api.elsevier.com/content/article/PII:S1568494619302625,,30,5/14/2024 20:15,journal-article,10.1016/j.asoc.2019.105492,1568-4946,,81,,105492,105492,104,20.8,26,4,5,,,,,,,,,
83,"Yiming Tang, Fuji Ren, Witold Pedrycz",Fuzzy C-Means clustering through SSIM and patch for image segmentation,2020,Applied Soft Computing,Elsevier BV,https://api.elsevier.com/content/article/PII:S1568494619307094,,31,5/14/2024 20:15,journal-article,10.1016/j.asoc.2019.105928,1568-4946,,87,,105928,105928,83,20.75,28,3,4,,,,,,,,,
